切换语言,用户名,密码,项目名称,项目简介,项目类型,覆盖组合个数
中文,正确用户名,正确密码,数字/字母/汉字组成的不超过125位,数字/字母/汉字组成的不超过125位,web,15
英文,错误用户名,正确密码,含特殊字符,含特殊字符,ios（app+小程序）,15
英文,正确用户名,错误密码,长度超过125位,数字/字母/汉字组成的不超过125位,Android（app）,14
中文,正确用户名,错误密码,长度超过135位且包含特殊字符,长度超过125位,ios（app+小程序）,13
中文,正确用户名,错误密码,含特殊字符,长度超过135位且包含特殊字符,web,10
英文,错误用户名,正确密码,长度超过135位且包含特殊字符,数字/字母/汉字组成的不超过125位,windows应用,11
英文,错误用户名,正确密码,数字/字母/汉字组成的不超过125位,长度超过125位,Android（小程序）,11
中文,正确用户名,错误密码,数字/字母/汉字组成的不超过125位,含特殊字符,混合应用,10
中文,错误用户名,正确密码,长度超过125位,长度超过135位且包含特殊字符,windows应用,10
中文,错误用户名,错误密码,数字/字母/汉字组成的不超过125位,含特殊字符,Android（app）,7
中文,正确用户名,错误密码,含特殊字符,数字/字母/汉字组成的不超过125位,Android（小程序）,6
英文,错误用户名,正确密码,含特殊字符,长度超过125位,混合应用,7
英文,错误用户名,正确密码,数字/字母/汉字组成的不超过125位,长度超过135位且包含特殊字符,ios（app+小程序）,5
英文,错误用户名,错误密码,含特殊字符,数字/字母/汉字组成的不超过125位,web,5
中文,错误用户名,错误密码,长度超过125位,含特殊字符,web,5
英文,错误用户名,错误密码,长度超过135位且包含特殊字符,含特殊字符,Android（小程序）,3
英文,正确用户名,错误密码,数字/字母/汉字组成的不超过125位,含特殊字符,windows应用,4
英文,错误用户名,正确密码,含特殊字符,长度超过125位,Android（app）,3
英文,错误用户名,错误密码,长度超过125位,长度超过125位,web,2
英文,错误用户名,错误密码,长度超过135位且包含特殊字符,长度超过135位且包含特殊字符,web,2
英文,错误用户名,错误密码,长度超过125位,数字/字母/汉字组成的不超过125位,混合应用,2
英文,错误用户名,错误密码,长度超过135位且包含特殊字符,长度超过135位且包含特殊字符,Android（app）,2
英文,错误用户名,错误密码,数字/字母/汉字组成的不超过125位,数字/字母/汉字组成的不超过125位,ios（app+小程序）,2
英文,错误用户名,错误密码,长度超过125位,长度超过135位且包含特殊字符,ios（app+小程序）,1
英文,错误用户名,错误密码,长度超过135位且包含特殊字符,长度超过135位且包含特殊字符,web,1
英文,错误用户名,错误密码,长度超过135位且包含特殊字符,长度超过135位且包含特殊字符,混合应用,2
英文,错误用户名,错误密码,含特殊字符,长度超过125位,windows应用,2
英文,错误用户名,错误密码,长度超过125位,长度超过135位且包含特殊字符,Android（小程序）,2
英文,错误用户名,错误密码,长度超过135位且包含特殊字符,长度超过135位且包含特殊字符,Android（小程序）,1
